순번,기준년,기준월,상권코드,상권명,성별코드,성별,시간대코드,시간대,행정동코드,행정동명,유동인구수,시간당 평균 유동인구수,데이터생성일자
192,2021,01월,11,이마트 트레이더스 월평점 주변 상권,m,남성,1,출근,3017058600,월평1동,31644.77,15822.39,2022-11-15
193,2021,01월,11,이마트 트레이더스 월평점 주변 상권,f,여성,2,주간,3017058600,월평1동,182266.41,20251.83,2022-11-15
194,2021,01월,11,이마트 트레이더스 월평점 주변 상권,m,남성,2,주간,3017058600,월평1동,233083.23,25898.14,2022-11-15
195,2021,01월,11,이마트 트레이더스 월평점 주변 상권,f,여성,3,퇴근,3017058600,월평1동,52191.1,26095.55,2022-11-15
196,2021,01월,11,이마트 트레이더스 월평점 주변 상권,m,남성,3,퇴근,3017058600,월평1동,69471.62,34735.81,2022-11-15
197,2021,01월,11,이마트 트레이더스 월평점 주변 상권,f,여성,4,저녁,3017058600,월평1동,93847.24,23461.82,2022-11-15
198,2021,01월,11,이마트 트레이더스 월평점 주변 상권,m,남성,4,저녁,3017058600,월평1동,125318.82,31329.72,2022-11-15
199,2021,01월,11,이마트 트레이더스 월평점 주변 상권,f,여성,5,야간,3017058600,월평1동,56679.41,8097.06,2022-11-15
200,2021,01월,11,이마트 트레이더스 월평점 주변 상권,m,남성,5,야간,3017058600,월평1동,79244.62,11320.66,2022-11-15
201,2021,01월,11,이마트 트레이더스 월평점 주변 상권,f,여성,1,출근,3017058800,월평3동,3943.21,1971.61,2022-11-15
202,2021,01월,11,이마트 트레이더스 월평점 주변 상권,m,남성,1,출근,3017058800,월평3동,4791.73,2395.87,2022-11-15
203,2021,01월,11,이마트 트레이더스 월평점 주변 상권,f,여성,2,주간,3017058800,월평3동,33158.39,3684.27,2022-11-15
204,2021,01월,11,이마트 트레이더스 월평점 주변 상권,m,남성,2,주간,3017058800,월평3동,34781.93,3864.66,2022-11-15
205,2021,01월,11,이마트 트레이더스 월평점 주변 상권,f,여성,3,퇴근,3017058800,월평3동,9223.37,4611.69,2022-11-15
206,2021,01월,11,이마트 트레이더스 월평점 주변 상권,m,남성,3,퇴근,3017058800,월평3동,9888.41,4944.21,2022-11-15
207,2021,01월,11,이마트 트레이더스 월평점 주변 상권,f,여성,4,저녁,3017058800,월평3동,18337.72,4584.44,2022-11-15
